User Agent,Ads Requested
Linux UPnP/1.0 Sonos/68.2-28040 (ZPS17) Nullsoft Winamp3 version 3.0 (compatible),78167
Bridgeco-Muso,77555
Dalvik/2.1.0 (Linux; U; Android 12; SM-G998B Build/SP1A.210812.016),76877
Gold/92 (iPhone; CPU iPhone OS 15_4_1 like Mac OS X),76864
CastBox/9.0.0-220415143 (Linux;Android 12) ExoPlayerLib/2.10.4,75892
Podcasts/1611.2.1 CFNetwork/1325.0.1 Darwin/21.1.0,75508
Capital/1646916372 CFNetwork/1331.0.7 Darwin/21.4.0,75473
"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/100.0.4896.75 Safari/537.36 Edg/100.0.1185.39",74820
ClassicFM/1646916372 CFNetwork/1331.0.7 Darwin/21.4.0,74388
Podcasts/1629.2.1 CFNetwork/1327.0.4 Darwin/21.2.0,73815
"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/100.0.4896.127 Safari/537.36 Edg/100.0.1185.44",72820
Global Player/92 (iPad; CPU OS 15_4_1 like Mac OS X),72317
AppleCoreMedia/1.0.0.18H107 (iPad; U; CPU OS 14_8_1 like Mac OS X; en_gb),71480
Linux UPnP/1.0 Sonos/68.2-28040 (ZPS16) Nullsoft Winamp3 version 3.0 (compatible),71159
Xtream-Codes IPTV Panel Pro,70701
MyTuner-ExoPlayerAdapter,70131
Linux UPnP/1.0 Sonos/57.11-28060 (ZPS3) Nullsoft Winamp3 version 3.0 (compatible),70042
Dalvik/2.1.0 (Linux; U; Android 11; SM-A217F Build/RP1A.200720.012),68141
"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/101.0.4951.41 Safari/537.36",67878
Dalvik/2.1.0 (Linux; U; Android 12; SM-A528B Build/SP1A.210812.016),67587
Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:99.0) Gecko/20100101 Firefox/99.0,67572
Linux UPnP/1.0 Sonos/57.11-28060 (ZP90) Nullsoft Winamp3 version 3.0 (compatible),67255
"SoundCloud/5.170.0 build 1234144; iPhone12,8/iOS/15.4.1",66199
GStreamer souphttpsrc libsoup/2.46.0,65043
AndroidDownloadManager/12 (Linux; U; Android 12; SM-G991B Build/SP1A.210812.016),64995
"Mozilla/5.0 (iPhone; CPU iPhone OS 15_4_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148",64464
AppleCoreMedia/1.0.0.16H62 (iPad; U; CPU OS 12_5_5 like Mac OS X; en_gb),63523
Dalvik/2.1.0 (Linux; U; Android 12; SM-G975F Build/SP1A.210812.016),62503
Linux UPnP/1.0 Sonos/57.11-28060 (ZPS12) Nullsoft Winamp3 version 3.0 (compatible),62038
Dalvik/2.1.0 (Linux; U; Android 11; SM-A127F Build/RP1A.200720.012),61133
Smooth/1646916372 CFNetwork/1331.0.7 Darwin/21.4.0,61113
AndroidDownloadManager/11 (Linux; U; Android 11; SM-A125F Build/RP1A.200720.012),60591
aStreamer/1.0,60022
"Spotify/8.7.28 iOS/15.4.1 (iPhone14,2)",59968
Dalvik/2.1.0 (Linux; U; Android 11; SM-A715F Build/RP1A.200720.012),58772
"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/100.0.4896.127 Safari/537.36",58176
Spotify/8.7.28.1217 Android/31 (SM-G991B),58156
